treatment_id,treatment_name,success_rate,quality,latency_s,tokens,tool_calls,errors,cot_depth,reasoning_tokens,output_tokens,probe_adoption,sr_per_1k_tokens
E1,be-concise,0.9219,0.9203,6.1198,618.7188,0.0,0.0,0.9375,334.875,125.4688,0.0,1.49
E2,answer-only,0.8906,0.8895,6.0087,620.1562,0.0,0.0,0.6562,334.7188,119.0625,0.0,1.436
E3,one-sentence,0.7812,0.8312,13.5127,1219.4688,0.0,0.0,0.1562,974.8438,83.25,0.0,0.641
E4,token-budget,0.9688,0.9684,5.1946,549.0938,0.0,0.0,0.5156,268.0469,114.6719,0.0,1.764
E5,no-reasoning,0.9219,0.9207,5.3261,560.1719,0.0,0.0,0.5469,282.1875,113.6094,0.0,1.646
E6,word-cap,0.8281,0.8297,5.3006,575.0156,0.0,0.0,0.625,384.4219,30.2188,0.0,1.44
E7,token-budget-adaptive,0.9375,0.936,4.0336,457.3594,0.0,0.0,0.4688,155.1094,117.875,0.0,2.05
T0,control,0.9375,0.9375,9.2474,877.7656,0.0,0.0,1.1875,568.5312,156.8594,0.0,1.068
