treatment_id,treatment_name,success_rate,quality,latency_s,tokens,tool_calls,errors,cot_depth,reasoning_tokens,output_tokens,probe_adoption,sr_per_1k_tokens
E1,be-concise,0.75,0.875,10.7558,3489.6875,1.5,0.0,0.0,646.75,125.125,0.0,0.215
E2,answer-only,0.875,0.9375,9.409,3311.25,1.375,0.0,0.0,602.8125,117.125,0.0,0.264
E3,one-sentence,0.75,0.8438,8.8344,2862.625,1.375,0.0,0.0,526.1875,108.0625,0.0,0.262
E4,token-budget,0.8125,0.9062,10.6747,3666.0625,1.4375,0.0,0.0,705.0625,121.25,0.0,0.222
E5,no-reasoning,0.8125,0.9062,9.526,3261.6875,1.4375,0.0,0.0,568.5625,118.4375,0.0,0.249
E6,word-cap,0.8125,0.9062,9.8819,3334.6875,1.5,0.0,0.0,588.875,112.8125,0.0,0.244
E7,token-budget-adaptive,0.875,0.875,13.0974,3887.1875,1.25,0.0625,0.0,828.0,106.0625,0.0,0.225
T0,control,0.9375,0.9688,12.9586,4014.0625,1.5625,0.0625,0.0,793.9375,138.625,0.0,0.234
